Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;1;Артикул;;Характеристики
;Светильник уличный Conform EG88131;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88131.gif;<STRONG>Габариты</STRONG><br>Длина: 11,0 см<br>Ширина: 9,0 см<br>Высота: 29,0 см<br>Отступ: 12,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: алюминий<br>Цвет плафона: серебро<br>влагонепроницаемый<br>энергосберегающая<br>светодиодные лампы 1X0,96W<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88131.jpg;1000;0;0;0;0;0;1;EG88131;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiNTkiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI0OCI7fX0
;Светильник уличный Conform EG88132;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88132.gif;<STRONG>Габариты</STRONG><br>Длина: 11,0 см<br>Ширина: 9,0 см<br>Высота: 29,0 см<br>Отступ: 12,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: алюминий<br>Цвет плафона: серебро<br>влагонепроницаемый<br>энергосберегающая<br>светодиодные лампы 1X0,96W<br>сенсорное включение<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88132.jpg;1000;0;0;0;0;0;1;EG88132;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiNTkiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI0OCI7fX0
;Светильник уличный Conform EG88133;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88133.gif;<STRONG>Габариты</STRONG><br>Длина: 11,0 см<br>Ширина: 9,0 см<br>Высота: 45,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: алюминий<br>Цвет плафона: серебро<br>влагонепроницаемый<br>энергосберегающая<br>светодиодные лампы 1X0,96W<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88133.jpg;1000;0;0;0;0;0;1;EG88133;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiNTkiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI0OCI7fX0
;Светильник уличный Conform EG88134;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88134.gif;<STRONG>Габариты</STRONG><br>Длина: 11,0 см<br>Ширина: 9,0 см<br>Высота: 105,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: алюминий<br>Цвет плафона: серебро<br>влагонепроницаемый<br>энергосберегающая<br>светодиодные лампы 1X0,96W<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88134.jpg;1000;0;0;0;0;0;1;EG88134;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiNTkiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI0OCI7fX0
;Светильник уличный Conform EG88135;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88135.gif;<STRONG>Габариты</STRONG><br>Длина: 11,0 см<br>Ширина: 9,0 см<br>Высота: 105,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: алюминий<br>Цвет плафона: серебро<br>влагонепроницаемый<br>энергосберегающая<br>светодиодные лампы 1X0,96W<br>сенсорное включение<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88135.jpg;1000;0;0;0;0;0;1;EG88135;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiNTkiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI0OCI7fX0
;Светильник уличный Conform EG88136;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88136.gif;<STRONG>Габариты</STRONG><br>Ширина: 41,6 см<br>Высота: 211,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: алюминий<br>Цвет плафона: серебро<br>влагонепроницаемый<br>энергосберегающая<br>светодиодные лампы 2X0,96W<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88136.jpg;1000;0;0;0;0;0;1;EG88136;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiNTkiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxOCI7fWk6MjE7YToxOntpOjA7czoyOiI0OCI7fX0
;Светильник уличный Linares EG88111;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88111.gif;<STRONG>Габариты</STRONG><br>Ширина: 10,0 см<br>Высота: 24,0 см<br>Отступ: 10,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: серебро<br>Цвет плафона: матовый;/UserFiles/Image/svetilniki/EG88111.jpg;1000;0;0;0;0;0;1;EG88111;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzQiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxOCI7fWk6MjE7YToxOntpOjA7czoyOiI5NiI7fX0
;Светильник уличный Linares EG88112;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88112.gif;<STRONG>Габариты</STRONG><br>Длина: 15,7 см<br>Ширина: 10,0 см<br>Высота: 24,0 см<br>Отступ: 15,7 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: серебро<br>Цвет плафона: матовый;/UserFiles/Image/svetilniki/EG88112.jpg;1000;0;0;0;0;0;1;EG88112;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzQiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxOCI7fWk6MjE7YToxOntpOjA7czoyOiI5NiI7fX0
;Светильник уличный Linares EG88113;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88113.gif;<STRONG>Габариты</STRONG><br>Длина: 10,0 см<br>Ширина: 6,0 см<br>Высота: 48,3 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: серебро<br>Цвет плафона: матовый;/UserFiles/Image/svetilniki/EG88113.jpg;1000;0;0;0;0;0;1;EG88113;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzQiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxOCI7fWk6MjE7YToxOntpOjA7czoyOiI5NiI7fX0
;Светильник уличный Melbourne 3 EG87124;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG87124.gif;<STRONG>Габариты</STRONG><br>Ширина: 13,0 см<br>Высота: 24,0 см<br>Отступ: 10,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: серебро<br>влагонепроницаемый<br>энергосберегающая<br>светодиодные лампы<br>3 года гарантия;/UserFiles/Image/svetilniki/EG87124.jpg;1000;0;0;0;0;0;1;EG87124;;YTo0OntpOjIwO2E6MTp7aTowO3M6MzoiMTMyIjt9aTo4O2E6MTp7aTowO3M6MzoiMTEwIjt9aTo5O2E6MTp7aTowO3M6MjoiMTciO31pOjIxO2E6MTp7aTowO3M6MTA6Is3l8iDk4O3t+/UiO319
